Rep,Constituency,State,Question,Requires Attention,Categories
Lee Chean Chung,Petaling Jaya,Selangor,"Usul kedua, Tuan Yang di- Pertua. Petaling Jaya merupakan sebuah bandar terbesar dan termaju di bawah negeri Selangor. Petaling Jaya yang berkeluasan kira-kira 97.2 kilometer persegi merupakan daerah yang memiliki populasi tertinggi iaitu sekurang-kurangnya 600,000 orang penduduk. Malah, Petaling Jaya yang terletak di dalam kawasan Lembah Klang merupakan kawasan tumpuan pilihan golongan pelajar, ekspatriat, golongan profesional serta pekerja gig. Selain itu, kepesatan zon perindustrian seperti sektor pembuatan dan elektronik yang tertumpu di seksyen 51, 51A, 13 dan 19 turut menyumbang kepada penumpuan bilangan kenderaan yang sangat tinggi pada waktu puncak dan biasa dan menyebabkan kesesakan lalu lintas. Tambahan pula, ia turut didorong oleh kesesakan penduduk yang keluar masuk di sekitarnya seperti Subang, Damansara, Bandar Utama, Puchong malah Kuala Lumpur. Bagi memudahkan pergerakan, mereka kebanyakannya bergantung tinggi kepada pengangkutan awam untuk bergerak dari satu tempat ke tempat yang lain. Sungguhpun di Petaling Jaya sudah terdapat beberapa mod pengangkutan seperti LRT, komuter KTMB dan bas, namun masih tiada terminal pengangkutan awam bersepadu di kawasan utama yang boleh mengintegrasikan semua mod pengangkutan awam supaya tahap kebolehsampaian pengguna lebih efektif dan masa ke destinasi dituju lebih singkat. Isu ‘first and last mile connectivity’ ini masih tidak dinoktahkan, sekalipun di kawasan bandar ataupun pedalaman. Berikutan isu tersebut, ia turut menjurus kepada isu limitasi ‘park and ride’ yang mana kekurangan tempat letak kenderaan yang mencukupi terutama pengguna pengangkutan rel di pusat bandar, sehingga tidak dapat menampung kapasiti keperluan pengguna. Dalam pada itu, projek mega terkini yang masih dalam proses semakan iaitu MRT 3, yang turut dikenali sebagai ‘Circle Line’, sepatutnya menghubungkan semua laluan rel bandar sedia ada di Lembah Klang menerusi 31 stesen keseluruhannya, tetapi semakan mendapati lintasannya tidak meliputi kawasan- kawasan utama di Petaling Jaya yang mempunyai kepadatan penduduk yang tinggi. Sedangkan, MRT 3 yang berkapasiti besar dan mampu menampung lebih pengguna berbanding LRT ini memainkan peranan yang penting dalam mengurangkan jarak bagi pengguna dari Petaling Jaya yang perlu berpindah antara laluan MRT (Kajang dan Putrajaya akan datang), laluan LRT (Kelana Jaya, Ampang, Sri Petaling), serta laluan Komuter KTMB. Soalan saya kepada Kementerian Pengangkutan adalah seperti berikut: (i) adakah kementerian bercadang untuk melibatkan rangkaian stesen MRT 3 meliputi kawasan berkepadatan penduduk di Petaling Jaya; dan  (ii) apakah perancangan terperinci Kementerian untuk menyelesaikan isu kekurangan ‘first and last mile connectivity’ di Petaling Jaya selain ketiadaan perkhidmatan terminal pengangkutan awam bersepadu di Petaling Jaya yang dapat menjamin kebolehsampaian pengguna dan penjimatan masa yang efektif, serta dapat menampung kepadatan pengguna dalam dan luar Petaling Jaya. Sekian, terima kasih.",No,Transportation
Lee Chean Chung,Petaling Jaya,Selangor,SOALAN TUAN LEE CHEAN CHUNG [PETALING JAYA] minta MENTERI PENGANGKUTAN menyatakan apakah Kementerian bercadang untuk mewujudkan skim dana Kerajaan atau melaksanakan pewartaan untuk penerbitan data transit oleh pengendali pengangkutan awam seperti di negara- negara maju agar pihak berkepentingan dapat melakukan kajian dan inovasi serta menyokong usaha Kementerian untuk memacu kelestarian pengangkutan awam.,No,Transportation
Lee Chean Chung,Petaling Jaya,Selangor,"SOALAN TUAN LEE CHEAN CHUNG [ PETALING JAYA ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan hasil siasatan Jabatan Alam Sekitar terhadap tuduhan bahawa Syarikat AA Sawit Sdn. Bhd. melanggar Akta EQA dengan memulakan pembangunan ladang kelapa sawit di Endau, Johor tanpa kelulusan laporan EIA.",Yes,Environment
Ahmad Bin Saad @ Yahaya,Pokok Sena,Kedah," minta Menteri Sumber Asli, Alam  Sekitar dan Perubahan Iklim menyatakan pendirian kementerian untuk memasukkan pemeliharaan terhadap tanah sawah padi sebagai elemen tambahan dalam Pemindahan Ekologi Fiskal (EFT) selain pemeliharaan terhadap hutan di setiap negeri.",Yes,Environment
Aminuddin Bin Harun,Port Dickson,Negeri Sembilan,SOALAN DATO' SERI HAJI AMINUDDIN BIN HARUN [PORT DICKSON] minta MENTERI KEMAJUAN DESA DAN WILAYAH menyatakan adakah terdapat peruntukan penyelenggaraan sampah di kawasan luar bandar (kampung tradisi) kerana pembuangan sampah yang tidak terurus menyebabkan pencemaran yang serius.,No,Pollution;Water;Waste
Aminuddin Bin Harun,Port Dickson,Negeri Sembilan,"SOALAN DATO' SERI HAJI AMINUDDIN BIN HARUN [ PORT DICKSON ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan adakah peruntukan untuk program penyelenggaraan sungai dan tebatan banjir untuk Negeri Sembilan. Jika ada, berapa jumlah peruntukannya.",No,Development;Flood
Yeo Bee Yin,Puchong,Selangor,"SOALAN PUAN YEO BEE YIN [ PUCHONG ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan apakah respon pelbagai industri dan pasaran terhadap Voluntary Carbon Trading (VCM).",Yes,Energy Transition
Yeo Bee Yin,Puchong,Selangor,"SOALAN PUAN YEO BEE YIN [ PUCHONG ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan langkah-langkah Kementerian bagi mengurus e-waste domestik yang semakin meningkat dan apakah status terkini peraturan e-waste.",Yes,Waste
Yeo Bee Yin,Puchong,Selangor,"SOALAN PUAN YEO BEE YIN [ PUCHONG ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan langkah-langkah Kementerian untuk mengatasi masalah pengimportan haram e-waste dan kilang-kilang haram pemprosesan e-waste yang semakin berleluasa.",Yes,Waste
Yeo Bee Yin,Puchong,Selangor,"SOALAN PUAN YEO BEE YIN [ PUCHONG ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan langkah-langkah Kementerian untuk mengatasi masalah margin rezab sifar di negeri Kedah, Kelantan dan Perlis serta masalah gangguan air yang kerap di Lembah Klang.",No,Water;Energy Transition
Yeo Bee Yin,Puchong,Selangor,"SOALAN PUAN YEO BEE YIN [ PUCHONG ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan statistik terperinci penghasilan sisa elektronik di Malaysia mengikut kategori sisa elektronik, negeri dan sebagainya.",No,Water;Energy Transition
Yeo Bee Yin,Puchong,Selangor,SOALAN YB PUAN YEO BEE YIN [ PUCHONG ] minta MENTERI PEMBANGUNAN KERAJAAN TEMPATAN menyatakan statistik kilang-kilang haram pemprosesan sisa elektronik di Malaysia serta senaraikan kilang-kilang haram yang dikenal pasti dan tindakan telah diambil.,No,Water;Energy Transition
Yeo Bee Yin,Puchong,Selangor,"SOALAN PUAN YEO BEE YIN [ PUCHONG ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan status terkini penghantaran kontena plastik haram dan kontena e-waste haram kepada negara asal serta nyatakan negara yang terlibat.",No,Water;Plastic;Energy Transition
Willie Anak Mongin,Puncak Borneo,Sarawak,SOALAN DATUK WILLIE ANAK MONGIN [ PUNCAK BORNEO ] minta MENTERI PERTANIAN DAN KERTERJAMINAN MAKANAN menyatakan dasar dan hala tuju sektor pertanian dan perladangan negara. Adakah Kementerian berhasrat menubuhkan Lembaga Baja dan Racun untuk membantu para peladang dan petani dalam negara.,No,Food Security;Environment
Shahelmey Bin Yahya,Putatan,Sabah,SOALAN Minta MENTERI PERTAHANAN menyatakan inisiatif Kementerian Pertahanan dalam menaik taraf sistem perparitan di dalam Kem Lok Kawi yang sering menyebabkan berlakunya banjir.,No,Water;Development;Flood
Jonathan Yasin,Ranau,Sabah,SOALAN DATUK JONATHAN YASIN [RANAU] minta MENTERI KEMAJUAN DESA DAN WILAYAH menyatakan bilakah tindakan dibuat untuk membina jambatan Kg. Lungkidau Ranau bagi menggantikan jambatan yang telah terputus akibat banjir sebelum ini. Permohonan untuk pembinaan jambatan ini telah pun dikemukakan kepada pihak Kementerian.,No,Development;Flood
Siti Zailah Binti Mohd Yusoff,Rantau Panjang,Kelantan,"Bismillahi Rahmani Rahim. Assalamualaikum warahmatullahi wabarakatuh dan salam sejahtera. Terima kasih, Tuan Yang di-Pertua, terima kasih Yang Berhormat Timbalan Menteri. Projek Pembangunan Lembangan Sungai Bersepadu (PLSB) Sungai Golok Fasa 1 melibatkan empat skop utama iaitu, Ban Banjir Sungai Golok sepanjang 26.2 kilometer, Ban Banjir Sungai Lanchang Lemal sepanjang 19.84 kilometer, Kuala Jambu Outlet Gate dan Ban Sungai Mentua. Projek ini dijangka siap sepenuhnya pada tahun 2024. Kejadian banjir pada Disember 2022 telah melibatkan hampir keseluruhan Parlimen Rantau Panjang dan beberapa buah kampung berdekatan tapak projek menghadapi banjir genang atau banjir termenung buat satu tempoh yang lama sehingga penduduk terpaksa berpindah ke Pusat Pemindahan Sementara. Jumlah mangsa banjir di Pasir Mas yang direkodkan adalah seramai 10,494 orang dan ditempatkan di 21 PPS, manakala di Tumpat seramai 2,336 orang di lapan PPS melibatkan 4,405 keluarga. Projek Pembangunan Lembangan Sungai Bersepadu, Sungai Golok Fasa 1 ini telah menjadi benteng halangan air dan menyebabkan berlakunya banjir genang. Keadaan ini telah memberikan kesan yang negatif kepada sebahagian besar rakyat di Rantau Panjang. Setiap tahun rakyat Rantau Panjang terpaksa menghadapi lebih tiga kali banjir yang meninggalkan kesan psikologi yang teruk kepada penduduk dan sudah tentulah turut menanggung kerugian berulang yang bukan sedikit. Selain rumah milik mangsa banjir, kerosakan juga melibatkan Jalan Persekutuan, jalan negeri, kawasan pertanian serta ternakan yang mati akibat banjir dan aset kerajaan termasuklah jambatan, sekolah dan balai polis. Ini juga menyebabkan mutu perkhidmatan awam rakyat di Rantau Panjang terjejas dan merugikan wang kerajaan untuk kos rawatan dan baik pulih berulang kali setiap tahun.  Mohon penjelasan pihak kementerian apakah bentuk modeling dan kajian hydraulic yang dilaksanakan di Lembah Sungai Golok ini. Apabila berlaku limpahan ban dan menyebabkan ban pecah, solusi yang dilaksanakan sekarang adalah meninggikan lagi ban. Impaknya sebelah hilir makin selamat dan sebelah hulu makin tenggelam sehingga rakyat menyebutkan menjadi ‘akuarium rakyat’. Hasilnya kawasan di bahagian Rantau Panjang digenangi air lebih dalam dan lebih lama berbanding kawasan di sebaliknya. Mohon kementerian menyatakan apakah tindakan jangka masa pendek dan segera yang akan diambil sehingga projek ini disempurnakan sepenuhnya. Adakah pihak kerajaan berhasrat untuk mendalamkan sungai, menyediakan kolam takungan air, pendalaman tasik, parit dan pembesaran kawasan culvert yang menjadi laluan penyebaran air hujan ataupun air sungai di kawasan yang terlibat dengan banjir bagi mengurangkan masalah air bergenang dan paras air yang tinggi di kawasan kediaman penduduk yang biasa terjejas setiap tahun? Saya berharap pihak kementerian dapat memberi jaminan agar Projek Pembangunan Lembangan Sungai Bersepadu, Sungai Golok Fasa 1 dan Fasa 2 akan dapat dilaksanakan dengan sempurna dan segera demi kemaslahatan rakyat di Rantau Panjang dan demi kita memajukan untuk negara seluruhnya. Insya-Allah terima kasih.",No,Climate Disaster;Flood
Siti Zailah Binti Mohd Yusoff,Rantau Panjang,Kelantan,"SOALAN DATO' HAJAH SITI ZAILAH BINTI MOHD YUSOFF [ RANTAU PANJANG ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan status bantuan peruntukan yang telah diumumkan oleh YAB Timbalan Perdana Menteri sebanyak RM12 juta pada 15 Disember 2022 untuk menyediakan enam unit pam bergerak berkuasa tinggi bagi mengatasi banjir termenung di jajahan Pasir Mas bagi menangani banjir termenung yang sering berlaku di jajahan tersebut khususnya di Rantau Panjang.",Yes,Flood
Siti Zailah Binti Mohd Yusoff,Rantau Panjang,Kelantan,"SOALAN DATO' HAJAH SITI ZAILAH BINTI MOHD YUSOFF [ RANTAU PANJANG ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan status pelaksanaan projek tebatan banjir di Rantau Panjang dan apakah perancangan Kementerian bagi mempercepat projek tersebut dapat disiapkan.",No,Development;Flood
Cha Kee Chin,Rasah,Negeri Sembilan,"SOALAN TUAN CHA KEE CHIN [ RASAH ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan bilakah projek Pembangunan Lembangan Sungai Bersepadu (PLSB) Sungai Linggi fasa 5 akan bermula. Menteri KASA (pada Julai 2022) pernah menyatakan bahawa ia akan bermula pada Januari 2023, tetapi sehingga kini masih belum bermula. Kelewatan ini membimbangkan penduduk yang terlibat. Sila berikan status terkini projek ini.",No,Water;Development
Chow Yu Hui,Raub,Pahang,"Tuan Yang di-Pertua, Bukit Fraser merupakan salah satu tempat pelancongan yang tertua di Malaysia, dibangunkan sebelum kemerdekaan negara kita dan kini bersejarah melebihi 100 tahun. Ia terkenal dengan alam sekitar yang menyegarkan kerana dilingkungi oleh hutan hujan bertanah tinggi malah kaya dengan biodiversiti flora dan fauna. Selain menjadi tumpuan pakar untuk menyelidik sebanyak 270 spesies burung serta penghijrahannya, Bukit Fraser juga sering menjadi tuan rumah acara tahunan Pertandingan Memerhati Burung Antarabangsa. Industri pelancongan telah menjadi sumber pendapatan utama bagi penduduk di Bukit Fraser. Akibat kekurangan kemudahan infrastruktur yang asas serta penyelenggaraan yang konsisten, kedatangan pelancong semakin merosot terutamanya pada waktu bukan cuti mingguan atau umum dan menyebabkan pendapatan penduduk terjejas. Saya memohon Yang Berhormat Menteri untuk menjawab soalan-soalan berikut; Pertama, ekopelancongan adalah salah satu fokus kerajaan untuk mempromosikan pelancongan di Malaysia. Adakah kerajaan akan menyenaraikan Bukit Fraser sebagai tarikan utama dalam segmen ekopelancongan? Apakah usaha kerajaan selama ini dan selepas ini bagi  memajukan ekopelancongan Bukit Fraser serta memelihara alam sekitar dan biodiversitinya? Kedua, kerajaan komited menumpukan pasaran khusus atau niche market, malah bekerjasama dengan Ecotourism & Conservation Society Malaysia (ECOMY) untuk mempromosikan pemerhatian burung di Malaysia. Adakah kerajaan memasukkan Bukit Fraser sebagai salah satu destinasi rasmi pemerhatian burung dan bagaimana kerajaan meluaskan pengaruh Bukit Fraser dalam pasaran khusus ini di peringkat antarabangsa? Ketiga, adakah kerajaan bersedia untuk memberi peruntukan khas daripada Belanjawan 2023? Sila terangkan pelan pemuliharaan warisan di Bukit Fraser secara terperinci. Keempat, apakah pendekatan kerajaan untuk membantu pengusaha tempatan dari segi kewangan, peningkatan kemahiran ataupun sokongan pakar dan profesional bagi memajukan pelancongan di Bukit Fraser? Kelima, sila nyatakan cara-cara menangani masalah tanah runtuh, kerosakan jalan raya, kekurangan tempat penginapan pekerja, tapak bersukan, dewan komuniti serta pengangkutan awam di Bukit Fraser secara terperinci. Hal ini kerana isu-isu ini telah menyebabkan ketidakselesaan dan prestasi perkhidmatan menurun malah kadangkala membahayakan keselamatan pelancong. Majlis Daerah Raub dan Majlis Perbandaran Hulu Selangor mentadbir Bukit Fraser bersama-sama. Kekurangan komunikasi dan kerjasama antara pelbagai agensi kerajaan tempatan telah melambatkan kerja-kerja penyelenggaraan dan kemajuan tempatan. (i) adakah Kerajaan Persekutuan bersedia untuk menjadi orang tengah antara negeri Pahang dan Selangor dan meminda kuasa pentadbiran Bukit Fraser di bawah Majlis Daerah Raub; dan (ii) adakah kerajaan bersedia untuk menubuhkan satu agensi baharu di bawah Kementerian Pelancongan, Seni dan Budaya dengan kerjasama rentas kementerian, khas bertanggungjawab sepenuhnya terhadap pembangunan dan pengurusan industri pelancongan Bukit Fraser? Sila nyatakan kekangan yang dihadapi serta langkah ke hadapan dalam jangka masa pendek dan jangka masa panjang. Sekian, terima kasih.",No,Biodiversity
Chow Yu Hui,Raub,Pahang,"Tuan Yang di-Pertua, penduduk Raub dihantui oleh gangguan air sejak 30 tahun dulu. Pada 2022, berlaku 116 kali gangguan air bagi tujuh loji rawatan. Gangguan air boleh berterusan sehingga tujuh hari dan bertambah teruk semasa musim perayaan. Pada 2017, Kerajaan Persekutuan memperkenalkan Projek Sabo Dam. Pada tahun 2019, RM3 juta ringgit disalurkan untuk memasang pam penggalak, tangki simpanan dan booster. Walaupun langkah tersebut mampu melegakan isu gangguan air di sesetengah kawasan tetapi kebanyakan kawasan masih mengalami gangguan air berskala besar dan berlanjutan. Meskipun sumber air bawah jagaan negeri, namun menurut Water Sector Transformation 2040, ia adalah aset strategik negara. Keselamatan air juga dianggap hal keselamatan negara. Majlis Keselamatan Negara (MKN) dalam Dasar Keselamatan Negara 2021-2025, meletakkan ‘Keselamatan Air’ dalam Nilai Teras 7.  Dalam konteks ini, selain daripada ancaman tradisional seperti militan dan pengganas, gangguan air dilihat sebagai suatu bentuk ancaman negara. Saya mencadangkan Kerajaan Persekutuan untuk menguatkuasakan undang-undang darurat di kawasan yang menghadapi krisis air, seperti Raub. Strategi ini bagi memastikan kesemua agensi kerajaan memberi perhatian sepenuhnya kepada krisis air serta cekap mengeluarkan langkah-langkah menjamin akses bekalan air bersih oleh penduduk tempatan dan kemudahan awam. Tuan Yang di-Pertua, contohnya, pengagihan air melalui lori tangki air, mendirikan tangki sementara atau pemasangan booster pump di kawasan perumahan yang tinggi. Kerajaan Persekutuan juga disarankan untuk memberi peruntukan kecemasan untuk memperbaiki infrastruktur. Bagi syor jangka panjang pula, kementerian perlu membangunkan SOP untuk menguruskan krisis air berskala besar. Selanjutnya, menurut Pengurusan Air Pahang Bhd (PAIP), gangguan air Raub berpunca daripada: (i) kapasiti loji-loji tidak mampu menampung pertambahan penduduk; (ii) ketidakupayaan untuk merawat kekeruhan air mentah; (iii) kekerapan kejadian paip pecah; dan (iv) jarak paip pengguna yang terlalu jauh dari loji dan bersaiz kecil. Kerajaan zaman PH pernah memperuntukkan RM18 juta untuk memasang pre-sedimentation tank di Loji Sungai Bilut, Sungai Klau dan Sungai Semantan, masing-masing bernilai sekitar RM6 juta. Tangki tersebut berkapasiti merawat air mentah setinggi 10,000 nilai bacaan kekeruhan (NTU). Walaupun hujan lebat dan air mentah keruh, loji-loji tersebut mampu terus beroperasi dan membekalkan air kepada penduduk tempatan. Namun demikian, sehingga hari ini, pre-sedimentation tank tersebut masih belum disiapkan walaupun dijangka siap tahun lepas. Saya mohon penjelasan daripada kementerian tentang sebab penangguhan projek, perkembangan projek dan tarikh projek siap bina. Tuan Yang di-Pertua, Kerajaan Persekutuan juga disarankan memberi peruntukan untuk menaik taraf pam dan tangki di loji-loji rawatan Raub dan beberapa kawasan perumahan untuk menyelesaikan masalah gangguan bekalan air buat yang kritikal sekarang. Berdasarkan PAIP, anggaran jumlah untuk projek tersebut adalah RM2 juta. Sekian, terima kasih.",No,Water
Chow Yu Hui,Raub,Pahang,"SOALAN TUAN CHOW YU HUI [ RAUB ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan berapa kali gangguan air yang telah berlaku di daerah Raub, Pahang mengikut loji rawatan air berdasarkan pecahan tahun 2018 hingga 2022.",No,Water
Chow Yu Hui,Raub,Pahang,"SOALAN TUAN CHOW YU HUI [ RAUB ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan sama ada Kementerian bersedia campur tangan dan memberi peruntukan kecemasan untuk membina dan menaik taraf loji rawatan air bagi menyelesaikan masalah gangguan air di negeri-negeri bukan Wilayah Persekutuan memandangkan akses kepada air bersih adalah hak asasi manusia.",Yes,Water
Chow Yu Hui,Raub,Pahang,"SOALANTUAN CHOW YU HUI [RAUB] minta MENTERI KERJA RAYAmenyatakan berapa kali berlaku tanah runtuh serta penutupan jalan rayadi Jalan Persekutuan 8 (Jalan FT8) Bentong - Raub, Jalan Lama Bentong- Raub dari tahun 2018 - 2022.",Yes,Landslide
Abdul Khalib Bin Abdullah,Rompin,Pahang,SOALAN DATO' HAJI ABDUL KHALIB BIN ABDULLAH [ ROMPIN ] minta MENTERI PENGANGKUTAN menyatakan adakah pihak Kementerian mempunyai perancangan untuk menambah baik sistem pengangkutan awam di seluruh negara dalam jangka masa 5 tahun yang akan datang.,Yes,Transportation
Abdul Khalib Bin Abdullah,Rompin,Pahang,"SOALAN DATO' HAJI ABDUL KHALIB BIN ABDULLAH [ ROMPIN ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan apakah langkah-langkah yang telah diambil oleh pihak Kementerian untuk memastikan pencemaran udara dari asap-asap kilang yang dilepaskan di udara oleh kilang-kilang yang beroperasi adalah pada nisbah selamat kepada penduduk penduduk yang tinggal berhampiran dengan kilang-kilang tersebut.",Yes,Pollution;Air
Abdul Khalib Bin Abdullah,Rompin,Pahang,"SOALAN DATO' HAJI ABDUL KHALIB BIN ABDULLAH [ ROMPIN ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan adakah pihak Kementerian mempunyai perancangan jangka panjang untuk menjalankan pemeriksaan berkala pada sungai-sungai dan tali air yang menjadi antara penyebab utama limpahan air hujan yang boleh menyebabkan banjir kilat bila berlaku hujan lebat di seluruh negara.",No,Water
Vivian Wong Shir Yee,Sandakan,Sabah,"Terima kasih Tuan Yang di- Pertua. Tajuk ucapan saya pada hari ini di Kamar Khas yang mulia ini adalah “Program Ijazah Sarjana Muda untuk Universiti Malaysia Sabah (UMS) Kampus Sandakan” kepada Kementerian Pendidikan Tinggi. Tuan Yang di-Pertua, saya ingin membawa perhatian kepada Yang Berhormat Timbalan Menteri Pendidikan Tinggi tentang keperluan segera untuk menawarkan lebih banyak program prasiswazah di Universiti Malaysia Sabah (UMS) Kampus Sandakan. Pada tahun 2006, UMS telah menubuhkan Fakulti Pertanian Lestari Kampus Sandakan yang terletak di Sungai Batang. Walau bagaimanapun, setakat ini hanya menawarkan tiga program prasiswazah sahaja, iaitu crop production, horticulture and landscaping dan livestock production. Menurut statistik dari Kementerian Pendidikan Malaysia (KPM) yang diperoleh pada tahun 2019, hanya 398 orang pelajar yang mengikuti pengajian di UMS Kampus Sandakan, walaupun UMS Kampus Sandakan mampu menampung 1,000 orang pelajar dalam suatu masa. Pilihan program yang terhad di Kampus Sandakan memang sukar untuk memenuhi aspirasi pelajar-pelajar yang layak untuk melanjutkan pendidikan di universiti. Justeru, saya ingin mencadangkan kepada pihak kementerian untuk menambah jumlah program yang ditawarkan di UMS Kampus Sandakan dengan memindahkan Fakulti Sains dan Sumber Alam dari Kampus Kota Kinabalu ke Kampus UMS Sandakan. Program sarjana muda yang ketika ini ditawarkan oleh Fakulti Sains dan Sumber Alam termasuk: (i) Biologi Pemuliharaan; (ii) Akuakultur; (iii) Sains Marin; (iv) Perhutanan Tropika Antarabangsa; (v) Taman Alam Semula Jadi & Rekreasi; (vi) Agroperhutanan; (vii) Teknologi & Industri Kayu;  (viii) Sains Persekitaran; dan (ix) Bioteknologi. Tuan Yang di-Pertua, dengan memindahkan Fakulti Sains dan Sumber Alam yang menawarkan sembilan program sarjana tambahan program sarjana muda seperti yang disenaraikan di atas ke Kampus Sandakan, ia bukan sahaja akan mengatasi kekurangan program sarjana muda yang tersedia di Kampus UMS Sandakan, tetapi ia juga akan memenuhi dan melengkapkan lagi sektor- sektor khusus di Sandakan yang bakal memenuhi keperluan strategik negeri. Sebagai contoh, Ibu Pejabat Jabatan Perhutanan Sabah terletak di Sandakan dengan pelbagai kemudahan penyelidikan hutan yang ditubuhkan di Sepilok, Imbak Canyon, dan Hutan Simpan Deramakot. Di samping itu, dengan budaya pemuliharaan alam sekitar yang terkenal di Sandakan melalui Pusat Pemuliharaan Orang Utan Sepilok, Pusat Konservasi Beruang Madu Borneo, Pusat Penemuan Hutan Hujan (RDC), Taman Pulau Penyu Selingan dan Santuari Hidupan Liar Kinabatangan, semua program yang disebutkan ini juga akan melengkapkan lagi dengan sempurna akan apa yang akan dimiliki oleh Sandakan khasnya alam sekitar dan ia berkaitan dengan program yang telah ditawarkan di kampus itu. Oleh yang demikian, saya dengan sukacitanya menyarankan kepada Yang Berhormat Timbalan Menteri Pendidikan Tinggi untuk mempertimbangkan dan merealisasikan cadangan untuk memindahkan Fakulti Sains dan Sumber Alam UMS di Kampus Kota Kinabalu ke UMS Sandakan sebagai langkah strategik untuk membangun serta memupuk graduan bertaraf dunia dalam bidang sains dan sumber asli untuk Malaysia. Sekian dan terima kasih.",No,Biodiversity;Environment
Vivian Wong Shir Yee,Sandakan,Sabah,"Terima kasih Tuan Yang di- Pertua. Tajuk ucapan saya pada hari ini ialah “Keperluan Segera untuk Menyediakan Lebih Banyak Rumah Projek Perumahan Rakyat (PPR) di Sandakan” kepada Kementerian Pembangunan Kerajaan Tempatan. Tuan Yang di-Pertua, saya ingin membawa perhatian kepada Yang Berhormat Timbalan Menteri Pembangunan Kerajaan Tempatan (KPKT) tentang keperluan segera untuk menyediakan lebih banyak rumah Projek Perumahan Rakyat (PPR) di Sandakan di bawah RMK-12. Tuan Yang di-Pertua, berdasarkan jawapan KPKT pada sesi Parlimen Pertama November 2021 yang lepas, Menteri menyatakan bahawa terdapat 23,778 unit rumah setinggan direkodkan di Sabah bagi jumlah semasa ketika itu. Sandakan mempunyai paling banyak rumah setinggan dengan 6,516 unit, diikuti oleh Semporna 4,297 unit, Lahad Datu 3,711 unit dan Tawau 3,600 unit. Ini bermakna, lebih daripada 27 peratus jumlah keseluruhan rumah setinggan di Sabah sahaja adalah terletak di Sandakan. Mengambil jumlah saiz purata isi rumah daripada Jabatan Statistik, ini bermaksud lebih 38,000 orang ketika ini tinggal di kawasan setinggan di seluruh Sandakan. Kawasan setinggan ini juga tidak mempunyai akses kepada bekalan air bersih dan penduduknya tinggal dalam suasana yang sempit dan tidak bersih. Bagaimanapun, daripada jawapan yang sama KPKT pada sesi Parlimen tahun lepas, dari 3,090 unit rumah PPR yang berada dalam pembinaan ketika ini di Sabah, tidak ada satu unit pun daripada jumlah itu dibina di Sandakan. Ini bermakna, kerajaan tidak mempunyai perancangan baharu bagi pembinaan rumah PPR baharu untuk Sandakan walaupun daerah kami mempunyai jumlah paling banyak rumah setinggan di Sabah. Bagaimanakah ini boleh menjadi logik dan munasabah?  Tuan Yang di-Pertua, sebanyak 41 buah keluarga warga tempatan telah kehilangan tempat tinggal mereka di Kampung Forest di Sandakan akibat fenomena air pasang besar dan ombak pada bulan lalu. Akan tetapi, sehingga sekarang pihak berkuasa tempatan masih belum dapat menempatkan keluarga ini di mana-mana PPR di Sandakan. Ketika ini juga, terdapat ribuan pemohon rumah PPR juga difahamkan berada dalam senarai menunggu dengan Majlis Perbandaran Sandakan. Permintaan untuk rumah PPR jauh melebihi jumlah PPR yang ada, sehingga difahamkan ada 'konco-konco' yang telah menjual borang permohonan PPR ini dengan harga yang sangat tinggi. Perkara ini sangat menyusahkan ramai golongan B40. Tuan Yang di-Pertua, dengan melihat situasi semasa pandemik COVID- 19, adalah lebih penting sekarang untuk kerajaan dengan segera membanteras koloni setinggan sedia ada yang mana berpotensi membawa kepada bahaya kesihatan awam kepada negara. Justeru, terdapat keperluan segera dan mendesak bagi kerajaan untuk menyediakan lebih banyak rumah awam mampu milik di Sandakan dalam masa yang terdekat dan saya juga menyeru kepada Menteri untuk mempercepatkan atau mempertimbangkan untuk membina lebih banyak projek perumahan PPR di Sandakan di bawah RMK-12. Sekian, terima kasih.",No,Development
